,lon,lat,inc,D1AU,delta,launch radius,launch speed,t factor,B1AU,gamma,vsw
count,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0
mean,-4.559780120849609,4.169698715209961,160.9831085205078,0.1328863948583603,2.784224510192871,25.9155330657959,631.1455688476562,206.83380126953125,7.38215446472168,1.2479007244110107,340.854248046875
std,12.48401165008545,7.905923843383789,8.981645584106445,0.04106544330716133,1.156508445739746,14.848808288574219,164.8303985595703,34.990928649902344,1.0669194459915161,0.45248082280158997,42.065860748291016
min,-39.85611343383789,-21.196407318115234,132.3386688232422,0.05003713071346283,1.0026991367340088,5.067032814025879,400.375732421875,37.09347152709961,5.014326095581055,0.20201507210731506,250.099609375
25%,-13.50148320198059,-0.6428742408752441,154.92901992797852,0.10364759527146816,1.8270432651042938,14.113106727600098,482.7944793701172,188.4697036743164,6.644009709358215,0.9130362123250961,311.0023727416992
50%,-3.8926074504852295,3.667432427406311,160.9482879638672,0.12762108445167542,2.640314817428589,23.144634246826172,609.549560546875,215.33218383789062,7.340564250946045,1.2816058993339539,339.89385986328125
75%,3.895922839641571,9.081292390823364,166.92051315307617,0.1553935408592224,3.5523088574409485,35.419920921325684,752.6839904785156,232.90836334228516,8.021540880203247,1.6235719919204712,368.61717987060547
max,32.31370544433594,31.20318603515625,189.20101928710938,0.3410073220729828,5.972191333770752,85.2726058959961,999.0753784179688,249.97052001953125,11.366324424743652,1.998656988143921,447.0028991699219
