,lon,lat,inc,D1AU,delta,launch radius,launch speed,t factor,B1AU,gamma,vsw
count,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0
mean,-10.279996871948242,-2.418774127960205,178.94998168945312,0.14979815483093262,3.212684154510498,26.529369354248047,643.4569091796875,157.077880859375,6.8838114738464355,1.2371859550476074,339.20318603515625
std,10.137630462646484,9.741930961608887,10.721976280212402,0.01873834803700447,1.034915804862976,15.16567325592041,167.17135620117188,71.36136627197266,1.0653778314590454,0.44675567746162415,41.29511642456055
min,-29.84244728088379,-26.897014617919922,143.55262756347656,0.12015220522880554,1.0126845836639404,5.073240756988525,400.3031005859375,-248.0274658203125,5.002117156982422,0.20003733038902283,250.6922149658203
25%,-17.92206907272339,-10.097781896591187,171.68181610107422,0.135228231549263,2.480096220970154,14.903822898864746,493.5875473022461,117.7651538848877,6.113968133926392,0.9022863209247589,309.8536605834961
50%,-11.018502235412598,-2.2952810525894165,178.82058715820312,0.14705590903759003,3.251363754272461,23.849562644958496,622.8330078125,169.4252166748047,6.821530342102051,1.2785013318061829,338.4812927246094
75%,-3.6227117776870728,4.918957233428955,185.65598678588867,0.16178566589951515,4.057126522064209,35.47181510925293,772.1184844970703,213.11706924438477,7.51450514793396,1.6138209402561188,368.38282775878906
max,28.014474868774414,23.933483123779297,221.59365844726562,0.19974243640899658,4.998356819152832,84.89640808105469,998.2256469726562,249.97134399414062,10.517486572265625,1.9968435764312744,449.98565673828125
