,lon,lat,inc,D1AU,delta,launch radius,launch speed,t factor,B1AU,gamma,vsw
count,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0
mean,116.32218933105469,11.974271774291992,178.9031219482422,0.28129637241363525,1.8042528629302979,70.8646469116211,1321.41162109375,-200.5599365234375,6.64481258392334,0.8581972122192383,375.570068359375
std,120.625732421875,9.991496086120605,19.017518997192383,0.04514191672205925,0.586009681224823,17.33041000366211,389.46661376953125,47.353450775146484,1.2232598066329956,0.4909892678260803,50.53706359863281
min,-179.9462432861328,-24.49505043029785,130.08360290527344,0.14176739752292633,1.0041422843933105,15.083891868591309,511.2466735839844,-249.60894775390625,5.004817485809326,0.2027561217546463,250.0961456298828
25%,154.34475708007812,5.0674062967300415,165.06444931030273,0.24767517670989037,1.303415060043335,61.081658363342285,1006.1218719482422,-230.97888565063477,5.724332213401794,0.4343314990401268,341.81175231933594
50%,164.82463836669922,11.57614278793335,177.08719635009766,0.288164958357811,1.723953366279602,72.92328643798828,1358.7767333984375,-208.0067138671875,6.440988302230835,0.755559504032135,382.91925048828125
75%,171.7243766784668,18.128684997558594,192.33680725097656,0.31890182197093964,2.1365094780921936,83.24677467346191,1645.4677124023438,-182.88668823242188,7.281414270401001,1.2160791158676147,416.1744613647461
max,179.98184204101562,37.62561798095703,236.54345703125,0.34989452362060547,3.818671226501465,99.61182403564453,1998.32177734375,205.44703674316406,13.112401962280273,1.9987019300460815,449.8249206542969
