,lon,lat,inc,D1AU,delta,launch radius,launch speed,t factor,B1AU,gamma,vsw
count,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0
mean,-10.085969924926758,-8.447880744934082,191.68453979492188,0.1470734030008316,1.8354897499084473,17.2452392578125,612.1740112304688,224.3839569091797,11.547775268554688,1.2742533683776855,338.18988037109375
std,9.528923034667969,8.149480819702148,3.591470241546631,0.03998348116874695,0.6111711263656616,5.550151824951172,157.39630126953125,20.10874366760254,0.6626088619232178,0.44534948468208313,34.30998992919922
min,-30.541881561279297,-41.05464172363281,180.93295288085938,0.09396840631961823,1.0003679990768433,8.05750846862793,400.4526672363281,126.91639709472656,9.552102088928223,0.20219123363494873,255.30694580078125
25%,-16.797680377960205,-13.346362113952637,189.23846054077148,0.11830033361911774,1.3230416178703308,12.654367923736572,477.8752746582031,212.21873092651367,11.115083694458008,0.9405943155288696,316.03497314453125
50%,-11.738740921020508,-7.239266395568848,191.76258087158203,0.13468000292778015,1.7291045784950256,16.842591285705566,578.381103515625,228.76265716552734,11.560443878173828,1.3151310682296753,335.2733459472656
75%,-4.094229340553284,-2.5163321495056152,194.02527618408203,0.16568667814135551,2.2189223170280457,21.478671073913574,722.9315643310547,240.31354904174805,12.006793022155762,1.6562699973583221,360.36128997802734
max,24.763654708862305,17.0377254486084,202.6265106201172,0.3464501202106476,3.748786211013794,29.97962760925293,997.0392456054688,249.860595703125,13.83930492401123,1.9977376461029053,446.3171691894531
