,lon,lat,inc,D1AU,delta,launch radius,launch speed,t factor,B1AU,gamma,vsw
count,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0
mean,6.953319549560547,-5.5066680908203125,348.4013366699219,0.08269616961479187,5.162870407104492,35.0,460.3982238769531,-116.13957977294922,13.566036224365234,3.313485622406006,282.0090637207031
std,3.7273664474487305,5.897700309753418,27.018726348876953,0.015675049275159836,1.9233851432800293,0.0,92.84568786621094,96.79391479492188,0.8962352871894836,0.5144250988960266,5.04083776473999
min,-10.737366676330566,-21.842748641967773,0.5211193561553955,0.05368087440729141,1.0633842945098877,35.0,350.0055236816406,-248.40667724609375,11.319931030273438,1.1829694509506226,275.00665283203125
25%,4.766639709472656,-9.626598358154297,347.58487701416016,0.0737003069370985,3.724137246608734,35.0,384.7594757080078,-196.1319351196289,12.894809484481812,2.9952845573425293,278.15624237060547
50%,7.22662878036499,-5.660343647003174,350.45140075683594,0.08022478967905045,5.131783485412598,35.0,434.3934783935547,-134.64313507080078,13.542168617248535,3.4166375398635864,281.1332092285156
75%,9.358246326446533,-1.210160881280899,353.4485397338867,0.08870513364672661,6.577758193016052,35.0,512.9146575927734,-57.09867572784424,14.198029518127441,3.7107620239257812,284.54742431640625
max,15.79974365234375,11.066332817077637,359.3057556152344,0.1953447163105011,8.962079048156738,35.0,744.4884033203125,208.080810546875,16.256141662597656,3.9995715618133545,306.4861145019531
