,lon,lat,inc,D1AU,delta,launch radius,launch speed,t factor,B1AU,gamma,vsw
count,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0
mean,8.45787525177002,-9.838396072387695,349.19598388671875,0.0994868203997612,4.180405616760254,35.0,447.4910583496094,-159.6182098388672,13.676383972167969,3.238412857055664,288.6492004394531
std,3.9606826305389404,6.979396820068359,22.114395141601562,0.022380460053682327,1.7938488721847534,0.0,80.3772964477539,65.97003936767578,0.6878101229667664,0.5295551419258118,9.821433067321777
min,-4.582656383514404,-25.10504150390625,0.4345631003379822,0.05866837128996849,1.0655956268310547,35.0,351.3003234863281,-249.92083740234375,11.445773124694824,1.447529673576355,275.0481262207031
25%,5.78833794593811,-15.047981262207031,348.2668762207031,0.08070150390267372,2.859578311443329,35.0,387.39630126953125,-208.34992218017578,13.187542915344238,2.912450909614563,279.64329528808594
50%,8.652795314788818,-11.584589958190918,350.3656921386719,0.09604489803314209,3.7574944496154785,35.0,427.3294219970703,-174.38832092285156,13.715793132781982,3.344578981399536,287.0007781982422
75%,11.45040225982666,-3.9733392000198364,352.7401580810547,0.11686841957271099,5.1921035051345825,35.0,486.10192108154297,-124.49107551574707,14.181335210800171,3.6670560240745544,297.08911895751953
max,18.678133010864258,10.058927536010742,359.83074951171875,0.1635364443063736,8.994226455688477,35.0,747.4552612304688,114.28856658935547,15.625716209411621,3.9914357662200928,313.74114990234375
