,lon,lat,inc,D1AU,delta,launch radius,launch speed,t factor,B1AU,gamma,vsw
count,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0
mean,7.192805290222168,-3.6535730361938477,228.65158081054688,0.147503063082695,3.055204391479492,21.824899673461914,697.3671875,149.42987060546875,7.657615661621094,1.236214518547058,297.03631591796875
std,4.099397659301758,5.526186466217041,2.6286141872406006,0.00509543577209115,1.1542599201202393,8.418412208557129,26.405536651611328,82.42201232910156,1.3436017036437988,0.3733205199241638,7.999340057373047
min,0.006771638989448547,-9.9723482131958,225.0004425048828,0.14002807438373566,1.0013998746871948,5.03486442565918,650.0180053710938,-240.16973876953125,5.0016913414001465,0.4541984498500824,280.0535583496094
25%,3.770632266998291,-7.980387210845947,226.47260665893555,0.14329229667782784,2.154770076274872,15.304771184921265,675.7481384277344,104.87327194213867,6.681256175041199,0.9361153095960617,290.99410247802734
50%,7.121458530426025,-5.450071334838867,228.0984344482422,0.1466018483042717,2.952947974205017,21.75500202178955,696.0764465332031,169.42731475830078,7.578235149383545,1.2087002396583557,297.95802307128906
75%,10.537233591079712,-1.0569662749767303,230.71900177001953,0.1510968953371048,3.873728632926941,28.031763076782227,718.9684295654297,214.00230026245117,8.54653811454773,1.537787526845932,303.73140716552734
max,14.958185195922852,9.948731422424316,234.8788604736328,0.15988469123840332,5.970864295959473,46.7475471496582,749.6314086914062,249.9170379638672,12.709197044372559,1.9986088275909424,309.9457092285156
