,lon,lat,inc,D1AU,delta,launch radius,launch speed,t factor,B1AU,gamma,vsw
count,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0
mean,7.236303806304932,-3.712386131286621,228.82220458984375,0.14773811399936676,3.0168612003326416,22.24044418334961,698.1644897460938,142.2938232421875,7.616290092468262,1.245484709739685,296.8052062988281
std,4.265976905822754,5.476696968078613,2.7889482975006104,0.00501637626439333,1.1361405849456787,8.698476791381836,27.24761199951172,86.01612091064453,1.336254596710205,0.37560588121414185,7.999217987060547
min,0.008859992027282715,-9.981916427612305,225.0005340576172,0.14000581204891205,1.0149407386779785,5.148532867431641,650.0049438476562,-244.842529296875,5.012303352355957,0.5080247521400452,280.021240234375
25%,3.762369215488434,-7.956927299499512,226.45270538330078,0.14375385642051697,2.1550917625427246,15.518200635910034,676.0305633544922,95.71460342407227,6.6058220863342285,0.9382929354906082,290.5651550292969
50%,6.882614374160767,-5.38048529624939,228.2380599975586,0.14706367254257202,2.8734428882598877,22.518240928649902,698.0313415527344,164.3302993774414,7.563135623931885,1.2296043038368225,297.44935607910156
75%,10.878596544265747,-1.2290284633636475,230.9220848083496,0.15117524936795235,3.7246036529541016,28.781694412231445,721.2022094726562,207.3483657836914,8.489917039871216,1.53704434633255,303.5275344848633
max,14.984001159667969,9.982884407043457,234.9420623779297,0.15995213389396667,5.987348556518555,45.22607421875,749.912841796875,249.95973205566406,11.762853622436523,1.9997690916061401,309.9959411621094
