,lon,lat,inc,D1AU,delta,launch radius,launch speed,t factor,B1AU,gamma,vsw
count,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0
mean,125.38752746582031,0.8119868040084839,128.17185974121094,0.3285747766494751,1.8629498481750488,7.665322303771973,1271.352294921875,-185.5194549560547,11.213078498840332,3.3745675086975098,77.88408660888672
std,7.215317726135254,12.801004409790039,12.565643310546875,0.01672467589378357,0.6690676212310791,1.264073371887207,353.6817626953125,40.51325988769531,2.9620094299316406,0.4586484730243683,22.75493812561035
min,98.41505432128906,-29.392284393310547,82.73511505126953,0.24654532968997955,1.0027579069137573,5.014575004577637,700.05322265625,-249.89285278320312,5.047426223754883,1.702551007270813,50.036930084228516
25%,121.2215805053711,-8.669071674346924,119.02062606811523,0.31953947991132736,1.3345633447170258,6.755775570869446,957.3976135253906,-219.02091217041016,8.970639944076538,3.087824285030365,60.55464839935303
50%,125.67644119262695,-1.021822988986969,129.2306137084961,0.3325003385543823,1.6883020997047424,7.608323574066162,1258.6914672851562,-189.5582046508789,10.957554817199707,3.466038465499878,73.21578598022461
75%,130.00443649291992,11.049142837524414,136.86022186279297,0.34140297770500183,2.2390315532684326,8.534921884536743,1560.2552795410156,-159.80213928222656,13.10217809677124,3.740181803703308,89.68570518493652
max,149.9519805908203,29.274099349975586,174.2388916015625,0.3498671054840088,3.988222122192383,11.777007102966309,1996.0018310546875,-72.41236114501953,24.104995727539062,3.9948346614837646,200.8919219970703
