,lon,lat,inc,D1AU,delta,launch radius,launch speed,t factor,B1AU,gamma,vsw
count,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0
mean,-11.385637283325195,-24.10659408569336,115.70204162597656,0.2374221235513687,2.6308603286743164,19.37413787841797,716.345703125,205.11024475097656,20.871017456054688,1.1143202781677246,410.14324951171875
std,9.347874641418457,7.049420356750488,9.127482414245605,0.04956463724374771,0.7097451686859131,5.943644046783447,142.37948608398438,31.742374420166016,3.0966715812683105,0.45465195178985596,27.681867599487305
min,-34.04127502441406,-44.90684127807617,87.73648834228516,0.10075658559799194,1.0390480756759644,8.054019927978516,426.45623779296875,87.78764343261719,13.478327751159668,0.2089991271495819,258.6317138671875
25%,-17.978285789489746,-29.26747417449951,109.94292259216309,0.2024286389350891,2.116397738456726,14.444403171539307,599.9418640136719,186.62533569335938,18.603428840637207,0.7690771967172623,394.1417465209961
50%,-11.748030185699463,-24.69979763031006,115.59532165527344,0.23890557885169983,2.6627501249313354,19.41287136077881,709.9688720703125,210.05928802490234,20.440688133239746,1.0909603238105774,413.24884033203125
75%,-4.946656107902527,-19.34150981903076,121.48326873779297,0.27352574467658997,3.190859794616699,24.531928062438965,832.6993103027344,230.22427368164062,22.943023681640625,1.4834862351417542,431.14681243896484
max,17.78182601928711,-3.29547381401062,140.2107391357422,0.34555763006210327,3.99609112739563,29.977428436279297,997.3526611328125,249.91363525390625,33.47873306274414,1.989530324935913,449.95562744140625
