,lon,lat,inc,D1AU,delta,launch radius,launch speed,t factor,B1AU,gamma,vsw
count,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0
mean,118.46499633789062,7.0467329025268555,131.00137329101562,0.3217497169971466,2.357975959777832,7.552019119262695,1296.1873779296875,-170.60858154296875,8.755367279052734,3.2696712017059326,95.0071029663086
std,6.611898899078369,11.879801750183105,11.390302658081055,0.0224462803453207,0.7401131987571716,1.244045615196228,345.55157470703125,46.547523498535156,1.752903699874878,0.5216635465621948,35.999839782714844
min,98.2390365600586,-23.473798751831055,80.05477142333984,0.22951450943946838,1.0047287940979004,5.070021629333496,700.9569702148438,-249.96470642089844,5.07556676864624,1.4087353944778442,50.059391021728516
25%,114.05599403381348,-1.7384474277496338,123.80720901489258,0.3102269545197487,1.7686417400836945,6.618697166442871,1025.2611083984375,-208.05230712890625,7.544749021530151,2.954619288444519,66.8217544555664
50%,118.71641159057617,7.458079099655151,131.6095428466797,0.3251436948776245,2.3115146160125732,7.574037551879883,1269.0501098632812,-173.1618423461914,8.618043899536133,3.3639538288116455,86.63980102539062
75%,123.05990791320801,16.20573329925537,138.42242050170898,0.33941252529621124,2.91961407661438,8.399311065673828,1559.4710083007812,-137.5747299194336,9.751275062561035,3.697742998600006,117.23416519165039
max,136.34112548828125,29.95809555053711,160.3737335205078,0.3499997556209564,3.9979779720306396,11.261482238769531,1995.3624267578125,-47.07152557373047,18.317567825317383,3.999025583267212,311.3437194824219
