,lon,lat,inc,D1AU,delta,launch radius,launch speed,t factor,B1AU,gamma,vsw
count,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0
mean,118.72328186035156,7.003623962402344,129.88613891601562,0.3230283558368683,2.3332009315490723,7.634118556976318,1282.1171875,-170.681640625,8.784048080444336,3.2680110931396484,92.60629272460938
std,6.4470906257629395,12.026678085327148,10.368484497070312,0.020789604634046555,0.7266713380813599,1.1820833683013916,343.88092041015625,46.384239196777344,1.810105800628662,0.5041919946670532,33.770957946777344
min,101.66542053222656,-23.889799118041992,95.86092376708984,0.24643249809741974,1.0021693706512451,5.0459465980529785,703.5394897460938,-248.8492889404297,5.238621711730957,1.4166070222854614,50.13743591308594
25%,114.43849754333496,-1.282776117324829,122.88546752929688,0.3114500790834427,1.7281289994716644,6.723162293434143,986.78955078125,-208.11612701416016,7.6039592027664185,2.9126798510551453,67.39181327819824
50%,118.64619445800781,7.997413635253906,130.34005737304688,0.3279454708099365,2.283181309700012,7.6695427894592285,1263.1702270507812,-176.28421020507812,8.587640762329102,3.3663464784622192,85.90609741210938
75%,122.84715843200684,16.27555274963379,137.31415939331055,0.3392769694328308,2.8932029008865356,8.43164324760437,1555.6991577148438,-135.8264274597168,9.843101739883423,3.6724970936775208,108.20745658874512
max,136.5794677734375,29.750837326049805,159.65274047851562,0.3498973250389099,3.9826912879943848,11.10405158996582,1995.1728515625,-31.172794342041016,16.679950714111328,3.9983437061309814,234.32115173339844
