,lon,lat,inc,D1AU,delta,launch radius,launch speed,t factor,B1AU,gamma,vsw
count,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0
mean,-14.102880477905273,8.670565605163574,145.309326171875,0.14131799340248108,3.414797782897949,30.40683364868164,642.986328125,46.38323974609375,6.758289337158203,1.2626217603683472,329.8966064453125
std,12.198379516601562,10.846546173095703,17.33072280883789,0.031574148684740067,0.9816983938217163,18.1954345703125,161.53663635253906,129.6772003173828,1.1291282176971436,0.4306565225124359,40.16168212890625
min,-42.79590606689453,-23.068134307861328,92.31655883789062,0.10018018633127213,1.0062072277069092,5.0258283615112305,400.64971923828125,-249.46311950683594,5.056463718414307,0.22852098941802979,250.29318237304688
25%,-23.247922897338867,1.557418942451477,134.85351181030273,0.11887706629931927,2.731594145298004,15.555281639099121,502.6840133666992,-45.28047180175781,5.901356816291809,0.9533025771379471,302.0652389526367
50%,-14.582078456878662,9.184857368469238,146.41445922851562,0.13457807153463364,3.538893699645996,27.303951263427734,623.4473266601562,62.86843490600586,6.57424521446228,1.314758062362671,329.3684387207031
75%,-5.077491641044617,16.572404384613037,156.61273574829102,0.15396110340952873,4.224631428718567,42.024577140808105,770.1018981933594,155.74421310424805,7.366987347602844,1.6281022429466248,354.7215347290039
max,18.591175079345703,34.94211959838867,198.7995147705078,0.2824932634830475,4.995447635650635,97.98140716552734,992.5657348632812,249.9644012451172,12.609153747558594,1.9991378784179688,438.01409912109375
