,lon,lat,inc,D1AU,delta,launch radius,launch speed,t factor,B1AU,gamma,vsw
count,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0
mean,-5.246219635009766,3.6822805404663086,160.56173706054688,0.13170777261257172,2.9732794761657715,23.023754119873047,635.3363647460938,204.39749145507812,7.289891719818115,1.322743535041809,323.08319091796875
std,12.441364288330078,8.918692588806152,8.95057201385498,0.042955294251441956,1.1814388036727905,13.52178955078125,160.7885284423828,36.7364616394043,1.059245228767395,0.43349242210388184,34.39011001586914
min,-38.114044189453125,-29.951265335083008,133.6236572265625,0.05128918215632439,1.0067741870880127,5.021191596984863,400.3038024902344,29.682714462280273,5.006173133850098,0.20210115611553192,250.61663818359375
25%,-14.432811975479126,-1.6442742049694061,154.26051712036133,0.10022950731217861,2.024458587169647,12.085584878921509,497.22496032714844,185.5632667541504,6.58734393119812,1.0132786333560944,300.2206726074219
50%,-4.906221628189087,3.421610713005066,160.3984146118164,0.12516235560178757,2.8200182914733887,20.43828582763672,614.5030212402344,213.20620727539062,7.215088129043579,1.3752068877220154,322.1847381591797
75%,4.029541015625,9.295843124389648,166.03833389282227,0.15622611716389656,3.787207305431366,31.355570793151855,753.3943481445312,232.38445663452148,7.98048722743988,1.6810554563999176,345.9966278076172
max,31.52342414855957,35.4167594909668,200.76959228515625,0.3303603529930115,5.959571361541748,76.16492462158203,999.8070068359375,249.9067840576172,11.543681144714355,1.9974539279937744,436.1578369140625
