,lon,lat,inc,D1AU,delta,launch radius,launch speed,t factor,B1AU,gamma,vsw
count,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0
mean,-3.119015693664551,-2.6294918060302734,183.16653442382812,0.24813224375247955,2.8319172859191895,13.668703079223633,649.9036865234375,125.45008850097656,10.7681303024292,1.2041137218475342,358.8353271484375
std,16.674352645874023,22.130075454711914,9.002026557922363,0.034350406378507614,0.7048718333244324,3.35440993309021,162.92698669433594,75.67169952392578,1.777748465538025,0.4564518630504608,38.17006301879883
min,-39.8690299987793,-38.06658172607422,158.7506103515625,0.20001910626888275,1.0116738080978394,8.002918243408203,400.2621765136719,-122.03667449951172,6.382913589477539,0.21320495009422302,260.7183532714844
25%,-15.8181791305542,-22.750213623046875,177.7311897277832,0.22029519826173782,2.3547865748405457,10.870593070983887,513.0165176391602,74.4915714263916,9.478602886199951,0.8617346733808517,333.66507720947266
50%,-3.3972880840301514,-13.336244583129883,182.57732391357422,0.24179000407457352,2.936170220375061,13.582480430603027,627.3086242675781,128.42786407470703,10.538060188293457,1.2618665099143982,354.97837829589844
75%,10.596276998519897,19.44941234588623,189.46835708618164,0.2696880027651787,3.396794021129608,16.269114017486572,788.9352416992188,188.02260208129883,11.872124195098877,1.5802839994430542,383.98116302490234
max,34.125606536865234,38.066917419433594,205.57713317871094,0.34973034262657166,3.9983391761779785,19.933752059936523,994.7484130859375,249.9405059814453,16.547006607055664,1.9984166622161865,448.6815185546875
