,lon,lat,inc,D1AU,delta,launch radius,launch speed,t factor,B1AU,gamma,vsw
count,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0
mean,7.125639915466309,-3.943732738494873,228.7145233154297,0.1477368175983429,2.6792211532592773,21.519500732421875,697.2867431640625,163.79200744628906,7.753633499145508,1.2897531986236572,297.12322998046875
std,4.208059310913086,5.905447959899902,2.708376169204712,0.005212355405092239,0.9924759268760681,8.168000221252441,26.363632202148438,68.48217010498047,1.3893712759017944,0.3629900813102722,7.767591953277588
min,0.02270181104540825,-9.995087623596191,225.00582885742188,0.14001032710075378,1.0127127170562744,5.111031532287598,650.0218505859375,-198.1645965576172,5.026779651641846,0.524587094783783,280.0267028808594
25%,3.4198946356773376,-8.353782415390015,226.41315841674805,0.14328116923570633,1.922045260667801,15.284582138061523,676.1402893066406,127.75147247314453,6.692633032798767,0.9924600720405579,290.99735260009766
50%,7.115074872970581,-6.254072189331055,228.1733627319336,0.1470448225736618,2.5586791038513184,21.81202220916748,695.9938659667969,178.34979248046875,7.638553857803345,1.2664432525634766,297.88999938964844
75%,10.545377254486084,-2.077357530593872,230.73099517822266,0.15151633322238922,3.3293450474739075,27.32036590576172,718.2436218261719,217.06161499023438,8.736727237701416,1.5906656682491302,303.4444122314453
max,14.998133659362793,9.99738597869873,234.98324584960938,0.15981535613536835,5.976248741149902,44.92094039916992,749.7691650390625,249.80906677246094,12.228158950805664,1.999916434288025,309.99078369140625
