,lon,lat,inc,D1AU,delta,launch radius,launch speed,t factor,B1AU,gamma,vsw
count,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0
mean,117.57647705078125,8.304244995117188,129.1081085205078,0.323626846075058,2.1624746322631836,7.660207748413086,1312.5291748046875,-172.15335083007812,9.153007507324219,3.3362107276916504,91.65496063232422
std,5.848043918609619,11.958029747009277,9.715957641601562,0.02125270664691925,0.7297323346138,1.2369452714920044,348.9145202636719,46.40434646606445,1.851109504699707,0.4838005304336548,35.78113555908203
min,101.44855499267578,-25.90731430053711,98.96588134765625,0.22683903574943542,1.0128237009048462,5.014536380767822,703.7313842773438,-249.25782775878906,5.669382572174072,1.2314984798431396,50.33504104614258
25%,113.70061874389648,-0.573231503367424,122.6070671081543,0.31383702903985977,1.5427488088607788,6.790097236633301,1026.2937927246094,-210.21732330322266,7.782383680343628,3.0531442165374756,65.52752304077148
50%,117.51983261108398,9.064577102661133,129.59342193603516,0.32766881585121155,2.049895405769348,7.6276326179504395,1293.5553588867188,-173.8788070678711,8.987311363220215,3.430745005607605,81.94609069824219
75%,121.27567863464355,18.08663320541382,135.70138549804688,0.340218260884285,2.658994734287262,8.459390878677368,1601.8099365234375,-137.54424285888672,10.268571376800537,3.7002634406089783,108.28966903686523
max,133.43417358398438,29.980316162109375,155.63201904296875,0.3499966561794281,3.9633710384368896,12.102160453796387,1995.5479736328125,-42.551177978515625,16.429222106933594,3.9998838901519775,310.2181701660156
