,lon,lat,inc,D1AU,delta,launch radius,launch speed,t factor,B1AU,gamma,vsw
count,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0
mean,116.88507843017578,7.735886096954346,130.00694274902344,0.3236294984817505,2.1525259017944336,7.7493577003479,1285.6943359375,-173.98129272460938,9.025460243225098,3.3033645153045654,87.59796142578125
std,5.994067192077637,11.933206558227539,9.645517349243164,0.02113131619989872,0.7718477845191956,1.3425018787384033,364.4191589355469,43.48041534423828,1.5518313646316528,0.4890099763870239,29.961532592773438
min,97.68989562988281,-26.391773223876953,97.06929779052734,0.2304290235042572,1.0112131834030151,5.025306701660156,700.716064453125,-249.18167114257812,5.525889873504639,1.6436172723770142,50.06795883178711
25%,112.96663284301758,-0.2430431805551052,123.62989807128906,0.31096041202545166,1.504645198583603,6.7293583154678345,984.7415313720703,-207.0616455078125,7.9091784954071045,3.0125028491020203,64.23626518249512
50%,116.89580917358398,7.826303243637085,130.4883575439453,0.328291580080986,1.9844991564750671,7.8177103996276855,1264.6566162109375,-175.95964813232422,8.894244194030762,3.38507080078125,82.45416259765625
75%,120.9139461517334,16.73160457611084,136.8453369140625,0.34020622074604034,2.7115418910980225,8.706323623657227,1587.7391662597656,-144.52608108520508,9.96129059791565,3.6791270971298218,102.10439109802246
max,134.18032836914062,29.976558685302734,153.8982696533203,0.3499692380428314,3.958286762237549,12.361054420471191,1994.7635498046875,-56.1881217956543,16.532367706298828,3.9987049102783203,210.37535095214844
