,lon,lat,inc,D1AU,delta,launch radius,launch speed,t factor,B1AU,gamma,vsw
count,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0
mean,-8.295548439025879,-0.29008471965789795,174.14620971679688,0.1482100486755371,3.251974582672119,26.772825241088867,637.0113525390625,115.92219543457031,7.4061431884765625,1.2411298751831055,336.57330322265625
std,11.791374206542969,10.84616470336914,14.03275203704834,0.01924867369234562,1.0192561149597168,14.896907806396484,165.0678253173828,103.59294128417969,1.3501043319702148,0.4544094204902649,39.56085205078125
min,-29.989818572998047,-28.90544319152832,128.17031860351562,0.1201012060046196,1.0074763298034668,5.004277229309082,400.5945739746094,-237.70375061035156,5.024995803833008,0.20415695011615753,252.4065704345703
25%,-16.198779106140137,-8.861916780471802,165.2103042602539,0.1318764090538025,2.457958996295929,14.955301523208618,488.9848098754883,55.37977409362793,6.348572015762329,0.8956100046634674,309.9218063354492
50%,-9.572470664978027,0.7457681596279144,174.63187408447266,0.1450219228863716,3.3322291374206543,24.59199333190918,616.5856018066406,140.0085220336914,7.308184385299683,1.2958056926727295,335.4244842529297
75%,-1.61562979221344,7.378474593162537,182.7352752685547,0.16055603325366974,4.057697296142578,35.905837059020996,769.0887756347656,195.43344116210938,8.32232117652893,1.6090956926345825,363.3816223144531
max,27.217206954956055,25.748504638671875,223.106689453125,0.1997603476047516,4.998663425445557,72.21786499023438,991.2387084960938,249.6096954345703,11.517951965332031,1.9990969896316528,443.1112060546875
