,lon,lat,inc,D1AU,delta,launch radius,launch speed,t factor,B1AU,gamma,vsw
count,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0
mean,6.36647891998291,-0.6894752979278564,229.42027282714844,0.14915607869625092,3.5612010955810547,22.308095932006836,699.0725708007812,114.31388854980469,7.801716327667236,1.3039804697036743,295.60455322265625
std,4.087153434753418,5.571753025054932,2.9432778358459473,0.005216518417000771,1.3429310321807861,8.635034561157227,27.85780143737793,107.14593505859375,1.708991289138794,0.3740013539791107,8.129353523254395
min,0.010225214995443821,-9.998109817504883,225.0135955810547,0.1400112807750702,1.0105960369110107,5.068856716156006,650.0845947265625,-249.9962158203125,5.006673812866211,0.42313727736473083,280.016845703125
25%,2.8613941073417664,-5.2786359786987305,226.77184295654297,0.14491909369826317,2.4492475390434265,15.918987274169922,675.1194305419922,50.10707473754883,6.447598457336426,1.0015311539173126,288.5689010620117
50%,5.979513168334961,-0.809855043888092,229.2569808959961,0.14882557839155197,3.625036597251892,22.267658233642578,697.9924621582031,135.84247589111328,7.569931745529175,1.2925576567649841,295.8966064453125
75%,9.468324899673462,3.7721949219703674,231.85262298583984,0.15320225059986115,4.589326620101929,28.532252311706543,723.6619720458984,202.75994491577148,8.907679557800293,1.6248158812522888,302.4659957885742
max,14.924896240234375,9.923900604248047,234.98284912109375,0.1599704623222351,5.99163818359375,44.775020599365234,749.9083251953125,249.68307495117188,14.139667510986328,1.999213457107544,309.9793395996094
