,lon,lat,inc,D1AU,delta,launch radius,launch speed,t factor,B1AU,gamma,vsw
count,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0
mean,6.705458641052246,-0.8227525353431702,229.3571014404297,0.14967656135559082,3.4789209365844727,22.67372703552246,698.4522705078125,123.60350036621094,7.854687213897705,1.3033831119537354,295.2393798828125
std,4.1045379638671875,5.477370262145996,2.851241111755371,0.005235533695667982,1.2951821088790894,8.751068115234375,27.62359046936035,97.0816421508789,1.7179216146469116,0.3706507682800293,8.042388916015625
min,0.03188794106245041,-9.994525909423828,225.01014709472656,0.14001093804836273,1.0067002773284912,5.024468421936035,650.0216674804688,-241.54693603515625,5.006890296936035,0.4706481397151947,280.0044250488281
25%,3.1220934987068176,-5.306669473648071,226.78181838989258,0.14528751000761986,2.4833568334579468,15.954745054244995,674.7537384033203,69.98394203186035,6.508525252342224,1.0053863823413849,288.72432708740234
50%,6.483903884887695,-1.271377444267273,228.98326873779297,0.14942236989736557,3.397777795791626,22.832873344421387,697.99365234375,145.5484848022461,7.712459087371826,1.3046622276306152,295.48899841308594
75%,9.801543474197388,3.59329754114151,231.70309448242188,0.15401651710271835,4.5171730518341064,29.421627044677734,719.66162109375,201.16478729248047,8.98932409286499,1.6164585947990417,301.6308822631836
max,14.954717636108398,9.997127532958984,234.9658966064453,0.15981395542621613,5.985393524169922,46.315303802490234,749.9923706054688,249.3197479248047,14.379852294921875,1.9990531206130981,309.9931945800781
