,lon,lat,inc,D1AU,delta,launch radius,launch speed,t factor,B1AU,gamma,vsw
count,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0
mean,128.01168823242188,-11.590465545654297,127.03761291503906,0.3349669277667999,1.8732614517211914,7.669958591461182,1273.472900390625,-183.38253784179688,13.7411470413208,3.4956798553466797,71.98306274414062
std,5.490196704864502,9.344209671020508,9.199180603027344,0.011659730225801468,0.653810441493988,1.1782132387161255,336.8948669433594,38.66804122924805,2.7896878719329834,0.36052849888801575,17.925283432006836
min,111.80827331542969,-33.79290008544922,100.67527770996094,0.27753162384033203,1.0008431673049927,5.010307312011719,704.5445556640625,-249.87738037109375,7.220824718475342,2.0459909439086914,50.05358123779297
25%,124.3059253692627,-17.877835750579834,121.03914451599121,0.32878774404525757,1.2901111841201782,6.792604923248291,997.6868743896484,-211.3913230895996,11.73347544670105,3.2639042735099792,58.26771926879883
50%,128.15402221679688,-12.784818172454834,127.31304168701172,0.33710718154907227,1.7399136424064636,7.647961378097534,1246.0013427734375,-185.0601348876953,13.547761917114258,3.568746566772461,67.12195587158203
75%,131.85946655273438,-5.824304223060608,133.6691131591797,0.344054751098156,2.3601531386375427,8.491233348846436,1532.0966796875,-158.53125,15.454433917999268,3.783205986022949,81.44290542602539
max,144.97769165039062,23.49329376220703,154.36813354492188,0.3499913513660431,3.9608092308044434,11.250788688659668,1995.2216796875,-65.64569854736328,25.648393630981445,3.9967894554138184,156.75323486328125
