,lon,lat,inc,D1AU,delta,launch radius,launch speed,t factor,B1AU,gamma,vsw
count,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0
mean,126.80726623535156,-9.845541000366211,127.68836212158203,0.333642840385437,1.9308395385742188,7.561981678009033,1277.97509765625,-182.77145385742188,13.117979049682617,3.448430299758911,73.6787109375
std,5.9960761070251465,10.153403282165527,8.943987846374512,0.013530328869819641,0.6890894174575806,1.1602262258529663,348.7111511230469,39.730079650878906,2.824388265609741,0.40449953079223633,18.76642608642578
min,106.38782501220703,-31.60953140258789,100.65219116210938,0.2664266526699066,1.002898931503296,5.065183639526367,700.0021362304688,-249.973876953125,5.917379379272461,1.6860791444778442,50.10395431518555
25%,122.33612442016602,-17.14831018447876,121.55564498901367,0.3260820731520653,1.349691480398178,6.739455819129944,980.7420501708984,-215.4919662475586,11.131192445755005,3.232089936733246,58.71347618103027
50%,127.1042251586914,-11.453067779541016,128.08406448364258,0.33661477267742157,1.7901731133460999,7.5440332889556885,1250.9942626953125,-186.10513305664062,12.939576625823975,3.5018101930618286,70.60674667358398
75%,130.75690841674805,-3.44992858171463,133.95380783081055,0.3437599167227745,2.342746317386627,8.422468900680542,1553.5339050292969,-154.28897857666016,14.901283264160156,3.765497863292694,83.84048652648926
max,144.20570373535156,21.44263458251953,154.27627563476562,0.34995782375335693,3.9592208862304688,10.74102783203125,1996.3529052734375,-82.05738067626953,26.007354736328125,3.998724937438965,149.22657775878906
