,lon,lat,inc,D1AU,delta,launch radius,launch speed,t factor,B1AU,gamma,vsw
count,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0
mean,6.748974800109863,-0.542640209197998,229.23411560058594,0.14918094873428345,3.379931926727295,22.733015060424805,697.612060546875,113.50946044921875,7.790258884429932,1.2937359809875488,294.94830322265625
std,4.133106708526611,5.447434902191162,2.7022314071655273,0.005290648899972439,1.2704018354415894,8.66388988494873,28.31053352355957,105.92472839355469,1.720267653465271,0.37400490045547485,8.033528327941895
min,0.05078219249844551,-9.944199562072754,225.0121612548828,0.1400028020143509,1.0169700384140015,5.122200965881348,650.2161254882812,-248.53692626953125,5.015946388244629,0.6081953048706055,280.343994140625
25%,3.112259328365326,-5.041246294975281,227.0212745666504,0.14482172578573227,2.447547733783722,16.56035327911377,673.0555877685547,48.68587875366211,6.481289625167847,0.990871250629425,288.63594818115234
50%,6.477248191833496,-1.0409736335277557,228.8559112548828,0.14879245311021805,3.345552682876587,22.183673858642578,698.3901977539062,139.52134704589844,7.5906102657318115,1.2849971055984497,294.7910614013672
75%,10.156268119812012,4.193677067756653,231.33057403564453,0.15344982221722603,4.332473397254944,29.50615167617798,720.4221801757812,198.81654739379883,8.852976322174072,1.5986809134483337,301.4365234375
max,14.774330139160156,9.974432945251465,234.96954345703125,0.15988017618656158,5.967727184295654,45.16664123535156,749.992919921875,249.78184509277344,16.521282196044922,1.9983161687850952,309.8400573730469
