,lon,lat,inc,D1AU,delta,launch radius,launch speed,t factor,B1AU,gamma,vsw
count,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0
mean,133.56326293945312,-6.5863800048828125,125.19319152832031,0.3330751955509186,1.655434012413025,7.722212791442871,1320.2672119140625,-188.01612854003906,14.229324340820312,3.43099308013916,73.05252075195312
std,6.106464385986328,8.864350318908691,11.545058250427246,0.012979851104319096,0.6044118404388428,1.121604323387146,348.80462646484375,41.836273193359375,4.136190414428711,0.4143298864364624,17.594594955444336
min,107.05290222167969,-37.70829772949219,100.09992980957031,0.27497097849845886,1.0002691745758057,5.024489879608154,705.3603515625,-249.95111083984375,5.07317590713501,1.9247180223464966,50.021240234375
25%,129.93162536621094,-12.941998481750488,116.59403800964355,0.326251782476902,1.1754059493541718,6.9405012130737305,1027.3462219238281,-219.98894500732422,11.300524711608887,3.1870484948158264,58.56081295013428
50%,133.67449188232422,-6.99159574508667,123.91839599609375,0.33541254699230194,1.4792888760566711,7.672728776931763,1301.0906372070312,-197.78912353515625,13.824979305267334,3.5132139921188354,68.01034927368164
75%,136.95204162597656,-0.9228564947843552,132.6871223449707,0.3435845151543617,1.9599673449993134,8.497084379196167,1623.9573059082031,-159.37654495239258,16.986104011535645,3.7571025490760803,85.28315353393555
max,151.65802001953125,19.051265716552734,165.01815795898438,0.34989041090011597,3.933048963546753,10.672492980957031,1998.7181396484375,-35.54261016845703,30.21916389465332,3.9965999126434326,146.98312377929688
