,lon,lat,inc,D1AU,delta,launch radius,launch speed,t factor,B1AU,gamma,vsw
count,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0
mean,133.6916046142578,-6.288573265075684,126.37091827392578,0.3312717378139496,1.7250704765319824,7.8111677169799805,1282.7552490234375,-185.63368225097656,13.811864852905273,3.4181981086730957,73.66300964355469
std,6.377833843231201,8.934957504272461,12.333500862121582,0.013483318500220776,0.6432434916496277,1.2203608751296997,359.9585876464844,40.206748962402344,4.032478332519531,0.3894246816635132,18.289682388305664
min,110.1702651977539,-27.363994598388672,100.06806945800781,0.28012704849243164,1.0036736726760864,5.07009744644165,704.3262329101562,-249.9811248779297,5.19804048538208,1.9688156843185425,50.01799392700195
25%,129.9483413696289,-12.234267234802246,117.48394966125488,0.3242252245545387,1.2282432317733765,6.875877141952515,960.4585418701172,-217.1794319152832,10.955122232437134,3.1842573285102844,59.52099609375
50%,133.67813873291016,-6.708364963531494,126.36804580688477,0.3330618888139725,1.5119754076004028,7.800425052642822,1259.4649658203125,-190.38531494140625,13.45154619216919,3.4598735570907593,69.44014739990234
75%,137.38995742797852,-0.9517483413219452,134.52994537353516,0.3420552462339401,2.0681039094924927,8.77127480506897,1570.8362426757812,-157.50368881225586,16.532740116119385,3.7185704708099365,83.13897132873535
max,154.51126098632812,19.026872634887695,172.8694610595703,0.3499760925769806,3.9862473011016846,11.246875762939453,1997.9576416015625,-60.4250602722168,28.464006423950195,3.996734619140625,144.11666870117188
