,lon,lat,inc,D1AU,delta,launch radius,launch speed,t factor,B1AU,gamma,vsw
count,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0
mean,9.65590763092041,-7.153884410858154,347.6864013671875,0.09275492280721664,5.342947959899902,35.0,487.30987548828125,-107.67681884765625,13.161166191101074,3.143115520477295,283.568115234375
std,3.776313543319702,6.497345447540283,22.200979232788086,0.01604255847632885,1.991573691368103,0.0,101.03565979003906,106.5640640258789,0.9606794714927673,0.6204124093055725,6.885354995727539
min,-6.595828533172607,-24.588285446166992,0.7582694292068481,0.0633687674999237,1.0903211832046509,35.0,350.0458679199219,-249.36363220214844,10.585977554321289,0.5905479192733765,275.08331298828125
25%,6.938222408294678,-11.255810022354126,345.7781066894531,0.08211863972246647,3.7380486130714417,35.0,400.7711639404297,-193.9586944580078,12.479606628417969,2.7788612246513367,278.3430709838867
50%,9.668001651763916,-7.047261953353882,349.011474609375,0.09092436358332634,5.479966402053833,35.0,463.2298889160156,-133.0190887451172,13.139256000518799,3.2592092752456665,281.7842559814453
75%,12.527883768081665,-2.812245726585388,352.41880798339844,0.09983283840119839,6.973521113395691,35.0,560.0211029052734,-41.48978805541992,13.835994720458984,3.634247601032257,286.5628128051758
max,19.786022186279297,11.945669174194336,359.98101806640625,0.1974053531885147,8.992730140686035,35.0,748.3091430664062,239.84275817871094,15.929661750793457,3.9984474182128906,320.8208312988281
